number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size_0,params_batch_size_1,params_batch_size_2,params_batch_size_3,params_batch_size_4,params_h1,params_h2,params_iter_no_change,params_learning_rate_init,params_max_iter,params_num_hidden_layers,params_preset_idx,state
44,0.9281623835577175,2025-11-29 23:34:39.261620,2025-11-29 23:34:48.567046,0 days 00:00:09.305426,relu,,,32.0,,,7,6.0,45,0.010606402358734352,440,2,2,COMPLETE
45,0.9341835011372581,2025-11-29 23:34:48.568076,2025-11-29 23:34:51.426413,0 days 00:00:02.858337,logistic,,,32.0,,,8,8.0,33,0.013668048808210799,403,2,2,PRUNED
46,0.9341312869388675,2025-11-29 23:34:51.428465,2025-11-29 23:35:00.097219,0 days 00:00:08.668754,relu,64.0,,,,,10,4.0,75,0.003524388905383033,479,2,0,COMPLETE
47,0.920081294230861,2025-11-29 23:35:00.098155,2025-11-29 23:35:06.935192,0 days 00:00:06.837037,relu,,,64.0,,,9,4.0,40,0.005852245385422182,151,2,2,COMPLETE
48,0.9365350115029859,2025-11-29 23:35:06.936163,2025-11-29 23:35:11.935321,0 days 00:00:04.999158,relu,16.0,,,,,7,3.0,75,0.0038408824410715156,480,2,0,PRUNED
49,0.9027200659388617,2025-11-29 23:35:11.936396,2025-11-29 23:35:15.973757,0 days 00:00:04.037361,relu,,,16.0,,,6,5.0,57,0.009220773661348053,456,2,2,PRUNED
50,0.9284698376259987,2025-11-29 23:35:15.974874,2025-11-29 23:35:18.477108,0 days 00:00:02.502234,relu,,,,40.0,,9,4.0,47,0.004119544252687509,425,2,3,PRUNED
51,0.9260915691359104,2025-11-29 23:35:18.477985,2025-11-29 23:35:34.834087,0 days 00:00:16.356102,logistic,64.0,,,,,10,7.0,80,0.001649048018442192,492,2,0,COMPLETE
52,0.9335753295422988,2025-11-29 23:35:34.835295,2025-11-29 23:35:47.767262,0 days 00:00:12.931967,relu,64.0,,,,,10,6.0,68,0.0034956126134725743,475,2,0,COMPLETE
53,0.9126207182149597,2025-11-29 23:35:47.768200,2025-11-29 23:35:49.744977,0 days 00:00:01.976777,relu,64.0,,,,,11,6.0,77,0.0036222612181505123,473,2,0,PRUNED
54,0.9401443657336891,2025-11-29 23:35:49.745814,2025-11-29 23:36:03.637313,0 days 00:00:13.891499,relu,64.0,,,,,8,5.0,70,0.0024115923225624916,529,2,0,COMPLETE
55,0.9348408737203668,2025-11-29 23:36:03.638180,2025-11-29 23:36:07.963866,0 days 00:00:04.325686,relu,,,32.0,,,8,5.0,58,0.002856825794957237,385,2,2,PRUNED
56,0.9231697249558973,2025-11-29 23:36:07.965634,2025-11-29 23:36:29.577362,0 days 00:00:21.611728,relu,32.0,,,,,8,3.0,70,0.0020090585942886727,531,2,0,COMPLETE
57,0.9348488370129809,2025-11-29 23:36:29.578335,2025-11-29 23:36:46.461038,0 days 00:00:16.882703,relu,,,32.0,,,7,4.0,59,0.007737941001959382,193,2,2,COMPLETE
58,0.9179461767755264,2025-11-29 23:36:46.462018,2025-11-29 23:36:51.428374,0 days 00:00:04.966356,logistic,,,32.0,,,7,5.0,53,0.007845806843676044,202,2,2,PRUNED
59,0.9336982533423829,2025-11-29 23:36:51.429225,2025-11-29 23:37:03.294185,0 days 00:00:11.864960,relu,,,32.0,,,7,7.0,55,0.0048675644617240145,183,2,2,COMPLETE
60,0.9369842075838334,2025-11-29 23:37:03.295155,2025-11-29 23:37:05.113689,0 days 00:00:01.818534,relu,,,32.0,,,6,10.0,58,0.0128418923429259,240,2,2,PRUNED
61,0.936642249291235,2025-11-29 23:37:05.114928,2025-11-29 23:37:07.460486,0 days 00:00:02.345558,relu,,,32.0,,,8,4.0,59,0.006252753745957095,220,2,2,PRUNED
62,0.9223611562918249,2025-11-29 23:37:07.461591,2025-11-29 23:37:08.629744,0 days 00:00:01.168153,relu,,,32.0,,,8,4.0,15,0.01023992380465341,183,2,2,PRUNED
63,0.9380479856313381,2025-11-29 23:37:08.630631,2025-11-29 23:37:19.739408,0 days 00:00:11.108777,relu,64.0,,,,,8,3.0,65,0.004477606431420149,255,2,0,COMPLETE
64,0.9409850044795514,2025-11-29 23:37:19.740309,2025-11-29 23:37:20.351985,0 days 00:00:00.611676,relu,,256.0,,,,8,3.0,65,0.007926096186504163,277,2,1,PRUNED
65,0.8563090409722213,2025-11-29 23:37:20.352914,2025-11-29 23:37:24.678761,0 days 00:00:04.325847,logistic,,,,20.0,,8,3.0,49,0.0045367245833986955,311,2,3,PRUNED
66,0.9320541104775589,2025-11-29 23:37:24.679611,2025-11-29 23:37:25.730214,0 days 00:00:01.050603,relu,,,,,200.0,9,5.0,59,0.015434836764462759,254,2,4,PRUNED
67,0.93714874527632,2025-11-29 23:37:25.731625,2025-11-29 23:37:28.215044,0 days 00:00:02.483419,relu,,,64.0,,,7,7.0,57,0.00714211330444637,348,2,2,PRUNED
68,0.9347585800713707,2025-11-29 23:37:28.217883,2025-11-29 23:37:30.758245,0 days 00:00:02.540362,relu,64.0,,,,,9,3.0,64,0.004501179624079177,229,2,0,PRUNED
69,0.9311914747319326,2025-11-29 23:37:30.759140,2025-11-29 23:37:34.454811,0 days 00:00:03.695671,logistic,,,16.0,,,8,5.0,20,0.005168522026438226,369,2,2,PRUNED
70,0.9389843688067373,2025-11-29 23:37:34.455741,2025-11-29 23:37:38.769779,0 days 00:00:04.314038,relu,32.0,,,,,8,9.0,61,0.0042237467008685425,562,2,0,PRUNED
71,0.9167916452451566,2025-11-29 23:37:38.770613,2025-11-29 23:37:42.311337,0 days 00:00:03.540724,relu,64.0,,,,,9,4.0,71,0.0025424705211872555,273,2,0,PRUNED
72,0.9386570660521049,2025-11-29 23:37:42.312170,2025-11-29 23:37:45.249970,0 days 00:00:02.937800,relu,64.0,,,,,7,4.0,76,0.004460331798870959,415,2,0,PRUNED
73,0.9421463220294625,2025-11-29 23:37:45.250782,2025-11-29 23:37:56.831601,0 days 00:00:11.580819,relu,64.0,,,,,5,5.0,73,0.004502300054509112,524,2,0,COMPLETE
74,0.9377277623914393,2025-11-29 23:37:56.832595,2025-11-29 23:38:06.997153,0 days 00:00:10.164558,relu,64.0,,,,,5,5.0,69,0.003077346945007116,565,2,0,COMPLETE
75,0.9314688277736751,2025-11-29 23:38:06.998369,2025-11-29 23:38:10.611010,0 days 00:00:03.612641,relu,64.0,,,,,5,6.0,73,0.0031088981531846513,596,2,0,PRUNED
76,0.9474801596644417,2025-11-29 23:38:10.611878,2025-11-29 23:38:22.207726,0 days 00:00:11.595848,relu,64.0,,,,,5,5.0,69,0.002210149454390482,572,2,0,COMPLETE
